WMU,Year,Active Hunters,Harvest
32,2017,289,120
32,2018,285,106
33,2012,77,47
33,2013,59,23
33,2014,78,34
33,2015,112,64
33,2016,140,82
33,2017,124,56
33,2018,99,40
34,2012,46,19
34,2013,55,13
34,2014,43,12
34,2015,63,28
34,2016,54,25
34,2017,44,18
34,2018,40,8
35,2012,289,99
35,2013,252,43
35,2014,242,66
35,2015,231,91
35,2016,290,118
35,2017,299,79
35,2018,217,70
36,2012,271,100
36,2013,234,60
36,2014,397,114
36,2015,395,110
36,2016,460,164
36,2017,381,122
36,2018,350,113
37,2012,308,91
37,2013,283,89
37,2014,285,84
37,2015,349,156
37,2016,493,228
37,2017,493,179
37,2018,363,89
38,2012,302,57
38,2013,323,57
38,2014,374,80
38,2015,388,91
38,2016,469,154
38,2017,445,86
38,2018,409,79
39,2012,351,88
39,2013,365,84
39,2014,575,111
39,2015,649,136
39,2016,719,197
39,2017,545,114
39,2018,487,100
40,2012,479,129
40,2013,495,88
40,2014,544,88
40,2015,524,145
40,2016,703,199
40,2017,584,108
40,2018,594,160
41,2012,740,195
41,2013,662,142
41,2014,959,198
41,2015,1068,258
41,2016,987,252
41,2017,928,211
41,2018,832,195
42,2012,667,146
42,2013,574,160
42,2014,965,214
42,2015,955,254
42,2016,1010,296
42,2017,806,192
42,2018,770,167
43A,2012,33,6
43A,2013,21,1
43A,2014,32,7
43A,2015,46,7
43A,2016,50,11
43A,2017,37,7
43A,2018,32,6
43B,2012,66,13
43B,2013,48,3
43B,2014,55,3
43B,2015,88,7
43B,2016,127,23
43B,2017,151,21
43B,2018,129,17
44,2012,4,3
44,2013,5,2
44,2014,8,2
44,2015,8,0
44,2016,16,5
44,2017,12,3
44,2018,12,2
45,2012,31,4
45,2013,33,3
45,2014,12,2
45,2015,13,0
45,2016,44,7
45,2017,36,6
45,2018,29,3
46,2012,406,63
46,2013,398,68
46,2014,429,100
46,2015,505,101
46,2016,754,161
46,2017,618,123
46,2018,582,59
47,2012,611,89
47,2013,726,150
47,2014,776,116
47,2015,970,203
47,2016,1317,266
47,2017,1253,193
47,2018,1142,163
48,2012,464,55
48,2013,365,37
48,2014,398,78
48,2015,567,149
48,2016,639,168
48,2017,627,109
48,2018,741,198
49,2012,766,103
49,2013,736,115
49,2014,839,146
49,2015,930,182
49,2016,1220,235
49,2017,1099,141
49,2018,995,127
50,2012,373,21
50,2013,330,42
50,2014,345,62
50,2015,446,96
50,2016,577,85
50,2017,529,80
50,2018,509,60
53,2012,413,55
53,2013,373,48
53,2014,371,51
53,2015,483,81
53,2016,713,143
53,2017,612,93
53,2018,501,71
54,2012,403,40
54,2013,357,47
54,2014,393,29
54,2015,411,33
54,2016,466,67
54,2017,520,65
54,2018,461,39
55A,2012,260,45
55A,2013,240,31
55A,2014,204,43
55A,2015,269,84
55A,2016,344,81
55A,2017,298,67
55A,2018,265,63
55B,2012,210,23
55B,2013,148,12
55B,2014,168,37
55B,2015,177,51
55B,2016,236,51
55B,2017,221,30
55B,2018,267,63
56,2012,568,87
56,2013,583,99
56,2014,629,107
56,2015,701,101
56,2016,907,102
56,2017,715,95
56,2018,716,95
57,2012,395,51
57,2013,358,35
57,2014,374,42
57,2015,492,96
57,2016,596,108
57,2017,558,100
57,2018,489,108
58,2012,281,43
58,2013,245,49
58,2014,289,46
58,2015,375,50
58,2016,422,66
58,2017,376,41
58,2018,421,53
59,2012,173,22
59,2013,183,27
59,2014,174,17
59,2015,227,39
59,2016,305,45
59,2017,265,40
59,2018,315,61
60,2012,964,131
60,2013,919,126
60,2014,947,114
60,2015,1243,215
60,2016,1503,238
60,2017,1251,209
60,2018,1173,126
61,2012,589,72
61,2013,574,84
61,2014,589,82
61,2015,788,147
61,2016,965,133
61,2017,930,117
61,2018,788,88
62,2012,370,69
62,2013,351,46
62,2014,366,59
62,2015,438,62
62,2016,583,108
62,2017,596,117
62,2018,471,49
63,2012,612,75
63,2013,560,90
63,2014,570,56
63,2015,637,104
63,2016,776,129
63,2017,731,143
63,2018,814,107
64,2012,184,12
64,2013,218,25
64,2014,180,20
64,2015,217,32
64,2016,271,60
64,2017,254,38
64,2018,319,50
66,2012,25,1
66,2013,41,6
66,2014,35,2
66,2015,35,0
66,2016,34,0
66,2017,33,2
66,2018,43,1
67,2012,129,12
67,2013,139,10
67,2014,168,15
67,2015,178,15
67,2016,189,27
67,2017,237,37
67,2018,259,32
68,2012,214,22
68,2013,182,25
68,2014,170,29
68,2015,236,25
68,2016,308,42
68,2017,296,47
68,2018,236,27
69A,2012,2,0
69A,2013,14,0
69A,2014,10,0
69A,2015,10,0
69A,2016,14,0
69A,2017,27,2
69A,2018,19,1
69B,2012,2,0
69B,2013,9,0
69B,2014,13,2
69B,2015,6,0
69B,2016,2,0
69B,2017,5,0
69B,2018,3,0
71,2012,27,3
71,2013,19,1
71,2014,34,2
71,2015,35,2
71,2016,71,8
71,2017,45,2
71,2018,56,7
72,2012,46,3
72,2013,28,3
72,2014,47,5
72,2015,58,3
72,2016,76,8
72,2017,56,6
72,2018,62,1
73,2012,58,4
73,2013,44,0
73,2014,52,2
73,2015,79,7
73,2016,111,15
73,2017,109,7
73,2018,99,9
74,2012,74,9
74,2013,69,9
74,2014,79,7
74,2015,121,7
74,2016,125,14
74,2017,111,15
74,2018,107,13
75,2012,161,22
75,2013,155,22
75,2014,206,34
75,2015,236,44
75,2016,299,77
75,2017,235,48
75,2018,230,36
76,2012,252,24
76,2013,176,17
76,2014,182,32
76,2015,257,32
76,2016,460,104
76,2017,394,70
76,2018,345,51
82A,2012,36,4
82A,2013,38,1
82A,2014,29,0
82A,2015,38,3
82A,2016,66,12
82A,2017,36,2
82A,2018,50,1
83,2012,106,19
83,2013,128,22
83,2014,86,10
83,2015,115,17
83,2016,125,27
83,2017,139,23
83,2018,126,10
84,2012,19,7
84,2013,30,4
84,2014,29,2
84,2015,35,5
84,2016,48,8
84,2017,37,4
84,2018,36,5
Total,2012,21218,5157
Total,2013,20891,4716
Total,2014,22875,5017
Total,2015,26293,6662
Total,2016,31480,8152
Total,2017,28718,6497
Total,2018,27138,5869
